2.019012140750885010e+03,1.320405745506286621e+01,1.228776396488249302e+05,2.858478752696514130e+05,4.841249163018703461e+06,8.416917933225630577e+01,1.060641032457351542e+02,1.094546322822570801e+02,1.194687693715095378e+02,2.745911526679992676e+03,5.633322080969810486e+03,5.408200854063034058e+03
2.019010399341583252e+03,1.240700006484985352e+01,1.252796174902617931e+05,2.850199792931973934e+05,4.869989327439785004e+06,8.363141969442366985e+01,1.054872516393661357e+02,1.087177555561065674e+02,1.187845852375030375e+02,2.736213266849517822e+03,5.615201237797737122e+03,5.378410534560680389e+03
2.018995086669921875e+03,1.178994661569595337e+01,1.272299187665730715e+05,2.843056666854023933e+05,4.880695720716953278e+06,8.304455612897872641e+01,1.050606895685195781e+02,1.079842915534973145e+02,1.182075902223586894e+02,2.726820409297943115e+03,5.587718224525451660e+03,5.356889010965824127e+03
2.018978864192962646e+03,1.128993296623229980e+01,1.296717955018579960e+05,2.850957881380617619e+05,4.890758633218288422e+06,8.250862121582031250e+01,1.047652417421340800e+02,1.073008065223693848e+02,1.177998121976852275e+02,2.718574416637420654e+03,5.566682732105255127e+03,5.343310864269733429e+03
2.018962506294250488e+03,1.089634248614311218e+01,1.327007434092611074e+05,2.868306883612275124e+05,4.897971845140933990e+06,8.199775388240813356e+01,1.045379652976989604e+02,1.066399540901184082e+02,1.175060450434684611e+02,2.712710797786712646e+03,5.554176583886146545e+03,5.336868973076343536e+03
2.018945473909378052e+03,1.060825866460800171e+01,1.362487381451725960e+05,2.885850993597507477e+05,4.899453037065029144e+06,8.147934373617171389e+01,1.043425767421722270e+02,1.059756443500518799e+02,1.172873484492301799e+02,2.709430968761444092e+03,5.549079930782318115e+03,5.336212308704853058e+03
2.018927546977996826e+03,1.042347154021263123e+01,1.402161935544312000e+05,2.895133030641078949e+05,4.893203563631534576e+06,8.093074998855590252e+01,1.041612018346786357e+02,1.052935171127319336e+02,1.171212607026100017e+02,2.708682084083557129e+03,5.550009557604789734e+03,5.340206274390220642e+03
2.018908171176910400e+03,1.034002953767776489e+01,1.445204319438636303e+05,2.892151077517867088e+05,4.877727406170368195e+06,8.034091622829436119e+01,1.039708594083785869e+02,1.045812752246856689e+02,1.169853200912475444e+02,2.710125958919525146e+03,5.555774402618408203e+03,5.347520919144153595e+03
2.018887295484542847e+03,1.035678815841674805e+01,1.490539108092784882e+05,2.872333221781253815e+05,4.852564935555934906e+06,7.970145983695982750e+01,1.037692087888717509e+02,1.038375325202941895e+02,1.168709086775779582e+02,2.713550162315368652e+03,5.565056669712066650e+03,5.357392476499080658e+03
2.018864734172821045e+03,1.047107386589050293e+01,1.537370080860257149e+05,2.833601864622533321e+05,4.817640535383701324e+06,7.900849053859710125e+01,1.035564202070236064e+02,1.030621430873870850e+02,1.167731260657310344e+02,2.718733477592468262e+03,5.576745441555976868e+03,5.369305656850337982e+03
